date,infra,marketplace,unknown
2021-06-18,6.0,0.0,3.0
2021-07-16,0.0,0.0,3.0
2021-09-17,1.0,0.0,0.0
2021-09-20,1.0,0.0,0.0
2021-09-30,2.0,0.0,1.0
2021-10-05,0.0,0.0,5.0
2021-10-12,2.0,0.0,0.0
2021-10-15,0.0,0.0,2.0
2021-11-09,8.0,0.0,0.0
2022-02-17,0.0,0.0,1.0
2022-06-29,1.0,0.0,0.0
2022-07-04,1.0,0.0,0.0
2022-07-11,1.0,0.0,2.0
2022-09-06,1.0,0.0,0.0
2022-09-08,1.0,0.0,0.0
2022-09-21,1.0,0.0,0.0
2022-10-03,1.0,0.0,0.0
2022-10-19,1.0,0.0,0.0
2022-11-07,1.0,0.0,0.0
2022-12-05,1.0,0.0,0.0
2023-01-18,1.0,0.0,0.0
2023-01-25,0.0,0.0,1.0
2023-02-01,0.0,0.0,2.0
2023-03-20,1.0,0.0,0.0
2023-05-09,0.0,0.0,1.0
2023-05-24,1.0,0.0,0.0
2023-06-13,1.0,0.0,0.0
2023-06-28,1.0,0.0,0.0
2023-07-24,0.0,0.0,1.0
2023-08-14,0.0,0.0,1.0
2023-09-05,1.0,0.0,0.0
2023-09-27,0.0,0.0,1.0
2023-11-03,1.0,0.0,0.0
2023-11-08,1.0,0.0,1.0
2023-12-07,0.0,0.0,1.0
2023-12-21,1.0,0.0,0.0
2024-04-10,1.0,0.0,0.0
2024-04-22,0.0,0.0,4.0
2024-04-30,0.0,0.0,1.0
2024-05-07,0.0,0.0,1.0
2024-06-18,1.0,0.0,0.0
2024-07-30,0.0,0.0,1.0
2024-08-04,0.0,1.0,0.0
2024-09-06,2.0,0.0,1.0
2024-09-09,0.0,0.0,1.0
2024-10-03,1.0,0.0,0.0
2024-10-14,1.0,0.0,0.0
2024-11-19,0.0,0.0,1.0
2024-12-02,1.0,0.0,0.0
2024-12-04,2.0,0.0,0.0
2024-12-12,1.0,0.0,0.0
2024-12-17,0.0,0.0,3.0
2024-12-20,1.0,0.0,0.0
2025-01-23,0.0,0.0,2.0
2025-01-24,0.0,0.0,1.0
2025-02-01,0.0,0.0,1.0
2025-02-05,0.0,0.0,2.0
2025-02-20,1.0,0.0,0.0
