date,contracts_deployed
2021-05-26,9
2021-05-31,2
2021-06-01,1
2021-06-04,2
2021-06-07,3
2021-06-10,1
2021-06-14,1
2021-06-15,4
2021-06-17,1
2021-07-09,3
2021-08-17,2
2021-09-02,1
2021-09-10,1
2021-09-15,1
2021-09-20,3
2021-09-27,1
2022-04-07,10
2022-04-19,1
2022-04-21,1
2022-04-22,1
2022-04-23,1
2022-05-04,1
2022-05-09,1
2022-06-17,1
2022-06-20,2
2022-06-28,4
2022-09-05,1
2022-09-07,1
2022-09-19,1
2022-09-20,1
2022-09-23,1
2022-10-27,1
2022-11-09,1
2022-12-02,1
2022-12-16,1
2023-01-24,1
2023-03-20,1
2023-04-03,1
2023-04-04,3
2023-04-13,4
2023-04-17,19
2023-05-04,12
2023-05-05,9
2023-05-08,1
2023-05-09,1
2023-05-10,16
2023-05-11,6
2023-05-12,7
2023-05-18,1
2023-05-22,1
2023-05-25,2
2023-05-31,3
2023-06-07,3
2023-06-08,2
2023-06-12,13
2023-06-26,1
2023-06-28,1
2023-07-11,1
2023-07-12,11
2023-07-14,2
2023-07-18,8
2023-07-19,4
2023-07-22,1
2023-07-31,1
2023-08-04,7
2023-08-08,2
2023-08-09,5
2023-08-15,1
2023-08-18,5
2023-08-20,1
2023-08-21,1
2023-08-31,1
2023-09-11,1
2023-10-03,3
2023-10-05,14
2023-10-17,1
2023-10-25,2
2023-10-31,1
2023-11-01,3
2023-11-23,1
2024-03-26,1
2024-04-11,5
2024-04-12,4
2024-04-17,1
2024-04-18,23
2024-04-20,2
2024-04-26,1
2024-05-02,5
2024-05-03,2
2024-05-10,1
2024-05-13,5
2024-05-18,13
2024-05-20,1
2024-05-21,8
2024-05-24,1
2024-06-14,1
2024-06-25,1
2024-07-01,3
2024-07-02,1
2024-07-12,3
2024-07-18,13
2024-07-23,2
2024-07-24,4
2024-07-25,2
2024-07-26,4
2024-07-27,3
2024-07-28,14
2024-08-10,1
2024-08-19,1
2024-08-20,1
2024-08-30,2
2024-08-31,4
2024-09-02,1
2024-09-03,2
2024-09-04,2
2024-09-07,1
2024-09-09,1
2024-09-26,1
2024-09-30,1
2024-10-01,1
2024-10-03,1
2024-10-09,1
2024-10-15,9
2024-10-16,7
2024-10-24,1
2024-10-31,1
2024-11-07,1
2024-11-08,2
2024-11-18,2
2024-11-19,1
2024-11-20,2
2024-11-25,3
2024-11-27,2
2024-11-28,10
2024-12-02,4
2024-12-03,2
2024-12-04,2
2024-12-05,1
2024-12-11,1
2024-12-12,1
2024-12-20,1
2024-12-29,8
2024-12-30,8
2024-12-31,8
2025-01-02,23
2025-01-03,32
2025-01-04,69
2025-01-05,24
2025-01-09,11
2025-01-10,1
2025-01-12,3
2025-01-13,27
2025-01-16,1
2025-01-17,5
2025-01-18,2
2025-01-19,1
2025-01-24,2
2025-01-27,8
2025-02-02,1
2025-02-04,2
2025-02-05,1
2025-02-09,1
2025-02-12,2
2025-02-13,4
2025-02-14,1
2025-02-17,1
2025-02-18,1
2025-02-19,3
2025-02-23,5
2025-02-24,4
2025-02-25,7
2025-02-26,12
2025-02-27,3
2025-02-28,1
2025-03-01,2
2025-03-02,5
2025-03-03,5
2025-03-04,1
2025-03-06,4
2025-03-07,3
2025-03-09,3
2025-03-10,6
2025-03-11,16
2025-03-12,4
2025-03-13,4
2025-03-14,10
2025-03-19,12
2025-03-21,1
2025-03-24,6
2025-03-26,12
2025-03-27,13
2025-03-28,25
2025-04-01,5
2025-04-02,2
2025-04-15,5
2025-04-16,6
2025-04-19,2
2025-04-22,1
2025-04-24,1
2025-04-25,2
2025-04-27,1
2025-04-28,1
2025-04-29,2
2025-04-30,2
2025-05-01,1
2025-05-02,6
2025-05-03,1
2025-05-05,1
2025-05-08,1
2025-05-09,3
2025-05-10,1
2025-05-11,1
2025-05-13,1
2025-05-16,2
2025-05-20,5
2025-05-21,1
2025-05-22,2
2025-05-26,6
2025-05-27,1
2025-05-28,3
2025-05-30,1
2025-06-01,1
2025-06-03,3
2025-06-09,2
2025-06-11,2
2025-06-12,1
2025-06-13,2
2025-06-15,4
2025-06-16,2
2025-06-20,1
2025-06-25,2
2025-06-26,2
2025-06-27,5
2025-06-29,1
2025-07-02,1
2025-07-04,4
2025-07-09,9
2025-07-10,1
2025-07-11,1
2025-07-12,1
2025-07-16,1
2025-07-17,1
2025-07-20,6
2025-07-21,9
2025-07-22,18
2025-07-23,7
2025-07-24,5
2025-07-25,18
